Sujeto,Relación,Objeto,origen
12 de febrero,tipo de fecha,Aniversario de la jura de la independencia de Chile,chile4_3413
173 propiedades rurales del partido de Santiago,composición,"37 haciendas, 121 chácaras y 15 quintas",chile4_18333
18 de septiembre,tipo de fecha,Aniversario de la creación del primer gobierno nacional de Chile,chile4_3412
750 soldados trompetas,sueldo asignado,100 pesos,chile4_14944
A New Description of the South America,año de publicación,1774,chile4_16324
A New voyage and description of the isthmus of America,fecha de publicación,1699,chile4_12475
A continuación, presento las tripletas extraídas del fragmento, siguiendo estrictamente los principios de predicados estáticos y entidades inequívocas:,chile4_18327
A description of Patagonia and the adjoining parts of South America,lugar de publicación,Londres,chile1_359
A description of Patagonia and the adjoining parts of South America,año de publicación,1774,chile1_360
A voyage round the world,fecha de publicación,1707,chile4_14980
A voyage round the world,lugar de publicación,Londres,chile4_14981
A voyage round the world,fecha de publicación,1777,chile4_16114
A voyage round the world,fecha de publicación,1697,chile4_12472
A voyage round the world,autor de,Jorge Forster,chile4_16112
A voyage round the world,tema,expedición de Dampier al Mar del Sur en 1703 y 1704,chile4_14982
A voyage round the world,lugar de publicación,Londres,chile4_16113
A voyage towards the South Pole and round the world,número de volúmenes,dos volúmenes en 4.0,chile4_16108
A voyage towards the South Pole and round the world,lugar de publicación,Londres,chile4_16107
A voyage towards the South Pole and round the world,fecha de publicación,1773,chile4_16106
A voyage towards the South Pole and round the world,autor de,James Cook,chile4_16109
A voyage towards the South Pole and round the world,complementador,capitán Fourneaux,chile4_16110
"A voyage towards the south pole, performed in the years 1822-1824",lugar de publicación,Londres,chile1_362
"A voyage towards the south pole, performed in the years 1822-1824",año de publicación,1825,chile1_363
"A years cruise Tierra del Fuego, the Falkland islands, Patagonia and in the river Plate",lugar de publicación,London,chile1_350
"A years cruise Tierra del Fuego, the Falkland islands, Patagonia and in the river Plate",año de publicación,1857,chile1_351
A. Bailly,autor de,Histoire financière de la France,chile4_15172
A. Tourmagne (Amédée Villard),autor de,"Histoire de l'esclavage (París, 1880)",chile4_1241
Abate Brasseur de Bourbourg,ocupación,autor de historias y sistemas etnográficos,chile1_141
Abate Gómez de Vidaurre,obra,Historia geográfica natural y civil del reino de Chile,chile4_19292
Abate Juan Ignacio Molina,autor de,Historia civil del reino de Chile,chile1_961
Abate Molina,autor de descripción sobre,minas de cobre en Chile,chile4_18546
Abate Molina,año de declaración sobre minas de cobre,1752,chile4_18564
Abate Olivares,autor de,Historia civil,chile1_10157
Abate Vidaurre,autor de,historia de Chile,chile4_7385
Abate Vidaurre,tiempo de residencia en Italia,veinte años,chile4_19295
Abate Vidaurre,cargo en orden jesuita,profesor de espulsión,chile4_19293
Abate Vidaurre,año de escritura sobre enseñanza,1788,chile4_19294
Abate don Juan Ignacio Molina,autor de,Historia civil de Chile,chile1_512
Abate francés Courte de la Blanchardiere,lugar visitado,Chile,chile4_13629
Abate francés Courte de la Blanchardiere,lugar visitado,Perú,chile4_13630
Abdicación de O'Higgins,tipo de documento,acta,chile4_1650
Abdón Cifuentes,cargo de trabajo,Ministro de Instrucción Pública,chile1_1057
Abraham Ortelius,autor de,mapa mundi de 1587,chile1_1203
Academia de San Luis,ubicación geográfica de establecimiento,Santiago,chile4_19313
Academia de San Luis,causa de cierre,incorporación al Instituto Nacional,chile4_17509
Academia de San Luis,materias impartidas,"gramática, aritmética, geometría y dibujo",chile4_17205
Academia de San Luis,año de cierre,1813,chile4_17508
Academia de San Luis,ubicación,calle de las Monjitas número 74,chile4_17507
Academia de San Luis,ingreso por alquiler,165 pesos,chile4_17506
Academia de San Luis,materias de enseñanza,"Aritmética, dibujo y geometría",chile4_17457
Academia de San Luis,monto de subvención del consulado,"1,000 pesos",chile4_17505
Academia de San Luis,tipo de institución,establecimiento de enseñanza,chile4_19355
Academia de San Luis,fecha de apertura de clases de matemáticas,1 de octubre de 1799,chile4_17207
Academia de San Luis,año de primeros exámenes,1801,chile4_17458
Academia de San Luis,número de alumnos en 1815,94,chile4_19339
Academia de San Luis,nombre en honor a,Reina María Luisa,chile4_17201
Academia de San Luis,protector,Don Luis Muñoz de Guzmán,chile4_20064
Academia de San Luis,fecha de aprobación de creación,6 de marzo de 1797,chile4_17203
Academia de San Luis,fuente de financiamiento,fondos del cabildo y consulado,chile4_17223
Academia de San Luis,ubicación inicial en,calle de San Antonio en Santiago,chile4_17233
Academia de San Luis,monto de subvención del tribunal de minería,"1,000 pesos",chile4_17504
Academia de San Luis,director en 1813,Francisco de la Puente,chile4_17497
Academia de San Luis,fuente de financiamiento,tribunal de minería,chile4_17502
Academia de San Luis,fuente de financiamiento,consulado de Santiago,chile4_17503
Academia de San Luis,ubicación posterior en,calle de las Monjitas número 74 en Santiago,chile4_17234
Academia de la Historia de Madrid,promotor de,edición completa de Historia general de Indias,chile1_1313
Academia de práctica de leyes,año de creación,1778,chile4_19320
Academia de práctica de leyes,relación institucional con,Universidad de San Felipe,chile4_19321
Accidente en el Biobío,número de soldados ahogados,veintitrés hombres,chile1_11090
Account of several late voyages and discoveries,fecha de publicación,1694,chile4_11773
"Aceite de los Valles de Sotaquí, Salsipuedes, Andacollo y Liman",calificación,mejor de la costa,chile4_13304
Aceite de oliva,lugar de importación de origen,España,chile4_18409
Aciún,evento relacionado,deposición por el pueblo de Concepción,chile4_19770
Aciún,cargo,gobernador,chile4_19769
Aconcagua,lugar de avance de,fuerzas colectivas de Coquimbo,chile4_43
Aconcagua,tipo de entidad,Distrito,chile4_13186
Acta de Unión de las Provincias,disposición sobre división territorial,seis departamentos,chile4_3901
Acta de acusación contra Pedro de Valdivia,número de capítulos,cincuenta y siete capítulos,chile1_2723
Acta de acusación contra Pedro de Valdivia,fecha de entrega a La Gasca,28 de octubre,chile1_2722
Acta de aprobación de nombramiento de Quiroga,número de firmantes vecinos,veinticuatro,chile1_4137
Acta de la independencia de Estados Unidos,tipo de documento circulante,traducción manuscrita,chile4_19156
Acta de parlamento de Concepción,fecha de celebración,20 de marzo de 1605,chile1_10575
Acta de parlamento de Concepción,lugar de conservación,Archivo de Indias,chile1_10576
Acta de unión,fecha de creación,30 de marzo,chile4_2022
Acta de unión,documento que acordó,convocatoria del congreso constituyente,chile4_899
Acta de unión,encargado,Poder ejecutivo de Chile,chile4_2023
Acta de unión de las provincias,contenido del artículo 16,apertura de residencia general a funcionarios,chile4_4347
Acta de unión de las provincias,artículo sobre jueces,artículo 21,chile4_921
Acta de unión de las provincias,fecha de promulgación,30 de marzo de 1823,chile4_920
Acta de unión de las provincias,fecha de emisión,30 de marzo de 1823,chile4_1228
Acta del 7 de diciembre,contenido,"cartas del virrey del Perú, Juan Fernández y Villagrán",chile1_3903
Acta del cabildo de Angol de 15 de diciembre de 1580,insertada en,resumen final de la historia del gobierno de don García por el padre Escobar,chile1_4084
Acta del cabildo de Angol de 15 de diciembre de 1580,tema tratado,servicios prestados por don García Hurtado de Mendoza,chile1_4083
Acueductos del Perú,perteneciente probable a,civilización más antigua del Perú,chile1_96
Acuerdo apócrifo del congreso,fecha de,febrero,chile4_3832
Acuerdo de 5 de diciembre,dictamen de,pasar antecedentes al poder ejecutivo,chile4_1591
Acuerdo de comisión del 17 de mayo,miembros asistentes,"Egaña, Elizalde, Echéverz, Gandarillas, Meneses y Vial",chile4_6882
Acuerdo de construcción de ermita en Concepción,fecha de celebración,8 de julio de 1570,chile1_6297
Acuerdo de la real audiencia de Santiago,fecha de ocurrencia,7 de marzo de 1634,chile4_9862
Acuerdo del Cabildo,fecha de,19 de noviembre de 1663,chile4_14781
Acuerdo del Cabildo,ubicación en,foja 746 del libro 16,chile4_14782
Acuerdo del Cabildo de Santiago de 11 de enero de 1554,número de miembros participantes,cuatro,chile1_4134
Acuerdo del Cabildo sobre borracheras,castigos autorizados,"tresquilar y azotar indios, negros y mulatos",chile1_7786
Acuerdo del Cabildo sobre borracheras,medida,regidores visitarán cada domingo con alguacil,chile1_7785
Acuerdo del Consejo de Indias de 9 de diciembre de 1610,contenido de,negativa a dar cargo de obispo al padre Valdivia,chile4_9511
Acuerdo del Senado del 21 de julio de 1824,contenido,Otorgamiento de facultades exclusivas al Director Supremo por tres meses,chile4_3431
Acuerdo del cabildo de Santiago,fecha de,17 de septiembre de 1594,chile1_8455
Acuerdo del cabildo de Santiago,año,1771,chile4_19063
Acuerdo del cabildo de Santiago,fecha de,15 de enero de 1621,chile4_8557
Acuerdo privado del 13 de mayo de 1825,número de diputados participantes,diez y nueve,chile4_3942
Acuerdo sobre guerra defensiva en Chile,fecha de,fines de mayo de 1610,chile4_9493
Acuerdo sobre mayorazgos,fecha de providencia,10 de setiembre de 1832,chile4_7095
Acuerdo sobre servicio personal indígena,fecha de,28 de septiembre de 1609,chile1_11046
Acuerdos del cabildo de Santiago sobre exportación de trigo,fechas de,"28 de febrero, 13 y 27 de marzo de 1696",chile4_13295
Adam,cargo de,piloto,chile1_9084
Adam Smith,autor de cita sobre,colonias europeas en América,chile1_7702
Adam Smith,profesión,Economista escocés,chile4_9339
Adam Smith,autor de,Wealth of Nations,chile4_9290
Adam Smith,rol en siglo XVIII,filósofo crítico de la esclavitud,chile4_1216
Adam Smith,autor citado sobre alcabalas,Wealth of Nations V chap. 11,chile4_2994
Adelantado Alderete,lugar de muerte,Isla de Taboga,chile1_3867
Adelantado Alderete,fecha de fallecimiento,abril de 1556,chile1_3870
Administración central de correos en Santiago,número de edificio,90,chile4_18718
Administración central de correos en Santiago,ubicación,calle de Santo Domingo esquina de Teatinos,chile4_18717
Administración de renta de tabacos,costo anual,49117 pesos,chile4_18164
Administración del general Pinto,implementador de bases de,crédito público chileno,chile4_6269
Administración del general Prieto,creadora de,cursos de farmacia,chile4_6389
Administración del general Prieto,restablecedor de,servicio de la deuda externa de Chile,chile4_6268
Administración del general Prieto,creadora de,escuela de obstetricia,chile4_6391
Administración del general Prieto,creadora de,cursos de medicina,chile4_6390
Administración del jeneral O'Higgins,período de,entre 1817 y 1822,chile4_1433
