Sujeto,Relación,Objeto
Diego Barros Arana,autor de,Historia general de Chile
Historia general de Chile,editorial responsable de publicación,Editorial Universitaria
Historia general de Chile,institución responsable de publicación,Centro de Investigaciones Diego Barros Arana
Centro de Investigaciones Diego Barros Arana,parte de,"Dirección de Bibliotecas, Archivos y Museos"
Eduardo Castro Le-Fort,miembro de comité editorial de,Historia general de Chile
Braulio Fernandez Biggs,miembro de comité editorial de,Historia general de Chile
Mario Monsalve Bórquez,miembro de comité editorial de,Historia general de Chile
Rafael Sagredo Baeza,miembro de comité editorial de,Historia general de Chile
Patricio Silva Sierra,responsable de digitación y composición de textos de,Historia general de Chile
Omar Covarrubias Sabat,corrector de originales de,Historia general de Chile
Noemi Sepúlveda Venegas,corrector de originales de,Historia general de Chile
Marcelo Rojas Vásquez,corrector de originales de,Historia general de Chile
Verónica Pinto Infante,corrector de pruebas de,Historia general de Chile
Jorge Flores Poblete,diseñador gráfico de,Historia general de Chile
Maria Pia Rengifo Streeter,fotógrafo de portada de,Historia general de Chile
Historia general de Chile,periodo de publicación de primera edición,1884-1902
Sergio R. Villalobos,autor de prólogo incluido en,Historia general de Chile
Carlos Vicuña Mackenna,autor de índice onomástico publicado en,1936
Diego Barros Arana,hijo de,Diego Antonio Barros
Diego Barros Arana,hijo de,Martina Arana Andonaegui
Diego Antonio Barros,cónyuge de,Martina Arana Andonaegui
Martina Arana Andonaegui,lugar de origen,Buenos Aires
Diego Antonio Barros,ocupación,comerciante
Diego Antonio Barros,cargo de,Senador
Diego Antonio Barros,cargo de,Consejero de Estado
Diego Barros Arana,lugar de estudios,Instituto Nacional
Diego Barros Arana,cargo de,rector del Instituto Nacional
Diego Barros Arana,rol de,perito en cuestión de límites con Argentina
Diego Barros Arana,autor de traducción de,El caballero d'Harmental
El caballero d'Harmental,autor de,Alejandro Dumas
El caballero d'Harmental,año de publicación,1848
Diego Barros Arana,autor de traducción de,"Piquillo Aliaga, o los moros en tiempo de Felipe III"
"Piquillo Aliaga, o los moros en tiempo de Felipe III",autor de,Eugenio Scribe
"Piquillo Aliaga, o los moros en tiempo de Felipe III",año de publicación,1848
Diego Barros Arana,autor de,Tupac Amaru
Tupac Amaru,año de publicación,1850
Diego Barros Arana,autor de,Benavides y las campañas del sur
Diego Barros Arana,autor de,Historia general de la independencia de Chile
Historia general de la independencia de Chile,periodo de publicación,1854-1858
Historia general de la independencia de Chile,número de tomos,4
Diego Barros Arana,cónyuge de,Rosalía Izquierdo Urmeneta
Diego Barros Arana,año de matrimonio con Rosalía Izquierdo Urmeneta,1854
Diego Antonio Barros,año de fallecimiento,1853
Juan Carlos Gómez,lugar de origen,Uruguay
Martina Barros de Orrego,autora de,Recuerdos de mi vida
Martina Barros de Orrego,relación familiar con Diego Barros Arana,sobrina
Rafael Valentín Valdivieso,cargo de,obispo
Crescente Errázuriz,cargo de,arzobispo de Santiago
Crescente Errázuriz,ocupación,historiador
Diego Barros Arana,refugio durante Guerra Civil de 1891,convento de los dominicos de Apoquindo
"Compendio de la historia civil, geográfica y natural",autor de,abate Molina
Memorias del general William Miller,autor de,William Miller
Historia de la revolución hispanoamericana,autor de,Mariano Torrente
Historia física y política de Chile,autor de,Claudio Gay
Andrés Bello,ocupación,intelectual
Doctor Lund,autor de,memoria sobre descubrimientos prehistóricos en América con fecha 21 de abril de 1844
Memoria del doctor Lund sobre descubrimientos prehistóricos,fecha de,21 de abril de 1844
Memoria del doctor Lund sobre descubrimientos prehistóricos,publicación en,Revista del Instituto Histórico del Brasil tomo VI pp. 334-343
Memoria del doctor Lund sobre descubrimientos prehistóricos,publicación en francés en,Bulletin de la société de géographie de Paris tomo de la 3ª serie 1845 pp. 250-260
Glyptodon elegans,estado de conservación,fósil
Florentino Ameghino,autor de,La antigüedad del hombre en el Plata Paris y Buenos Aires 1880-1881
Sir John Lubbock,autor de,L'homme avant l'histoire traducción Barbier Paris 1867
Nardaillac,autor de,Les premiers hommes Paris 1888
Doctor Burmeister,autor de,Histoire de la création traducción Maupas sobre la 8ª edición alemana Paris 1869
