Sujeto,Relación,Objeto
Guanahaní,type of landform,island
Guanahaní,characteristic,very flat with many green trees and much water and a very large lake in the middle
Taíno people,alternate name,Arawak
Taíno people,location,eastern edge of island cluster later called the Bahamas
Taíno people,neighbors,Caribs
Caribs,location,islands and coastlines of the Caribbean Sea
Christopher Columbus,date of arrival at Guanahaní,"October 12, 1492"
Christopher Columbus,occupation,admiral and explorer
Christopher Columbus,sponsor,king and queen of Spain
Christopher Columbus,duration of voyage to Guanahaní,33 days westward from the Canary Islands
Niña,type,ship
Pinta,type,ship
Santa Maria,type,ship
Christopher Columbus,ships used,"Niña, Pinta, and Santa Maria"
Canary Islands,location,off the west coast of Africa
Native Americans,origin,"ancestors crossed a land bridge that connected Siberia and Alaska between 11,000 and 15,000 years ago"
Maize (Indian corn),place of origin,central Mexico
Maize (Indian corn),time of breeding,"about 3,000 years before the Common Era (BCE)"
Maize (Indian corn),arrival on east coast of North America,around the year 200 of the Common Era (CE)
Haida tribe,location,Pacific Northwest
Tlingit tribe,location,Pacific Northwest
Kwakiutl tribe,location,Pacific Northwest
Comanche tribe,location,Great Plains
Lakota (Sioux) tribe,location,Great Plains
Cheyenne tribe,location,Great Plains
Arapaho tribe,location,Great Plains
Kiowa tribe,location,Great Plains
Puebloan people,location,area that became the southwestern United States
Hernando de Soto,occupation,Spanish conquistador
Coronado,occupation,Spanish explorer
Chaco Canyon,location,New Mexico
Chaco Canyon,time of construction,between 900 and 1150 CE
Chaco Canyon,population capacity,"5,000–10,000 inhabitants"
Chaco Canyon,number of pueblos,13 pueblos
Mesa Verde,location,southwestern Colorado
Mesa Verde,population,"perhaps numbering 30,000 people"
Hopi tribe,location,Arizona
Zuñi tribe,location,Arizona
Pueblo people,location,northern New Mexico
Acoma Pueblo,location,New Mexico
Acoma Pueblo,date of settlement,1250 CE
Acoma Pueblo,designation,oldest continuously occupied town in the modern continental United States
Cahokia,location,forks of the Mississippi and Missouri Rivers
Cahokia,time of height,between 1050 and 1200 CE
Cahokia,population at height,"10,000–20,000 people"
Cahokia,area,six square miles
Cahokia,largest pyramid height,100 feet tall covering 16 acres
Moundville,location,Alabama
Etowah,location,Georgia
Spiro,location,Oklahoma
Southeastern Ceremonial Cult,type,common set of spiritual beliefs spread by Mississippians
Hernando de Soto,expedition dates in American southeast,between 1539 and 1541
Cofitachique,type,major town encountered by de Soto
Cofitachique,ruler,queen
Natchez Indians,location,Louisiana
Natchez Indians,type of culture,last surviving Mississippian culture
Great Sun,role,chieftain of Natchez Indians
Natchez society,castes,"nobility, Honored People, and Stinkards"
Creek people,origin,survivors of Mississippian chiefdoms
Choctaw people,origin,survivors of Mississippian chiefdoms
Eastern Woodland Indians,location,Atlantic coast
Eastern Woodland Indians,lifestyle,"combination of hunting, fishing, and farming"
Woodland women,agricultural development date,"cultivating squash, sunflowers, and other seed-bearing plants as early as 1500 BCE"
Woodland Indians,adoption of corn,around 900 CE
Algonquin language family,location,Atlantic coast and around the Great Lakes
Iroquoian language family,location,Hudson River Valley and parts of the south
Muskogean language family,location,southeast
League of the Iroquois,alternate name,Haudenosaunee
League of the Iroquois,location,western New York
Powhatan Confederacy,location,Chesapeake Bay
Wampum,type,strings or belts of shell beads
Mayan people,location,Yucatán and adjoining areas of Central America
Mayan people,time period,between 300 and 900 CE
Mayan people,population,approximately five million
Mayan people,achievement,only written language in the Americas before European contact
Mayas,abandonment of most cities,by about 950 CE
Aztecs,alternate name,Mexica
Tenochtitlán,founding date,about 1325 CE
Tenochtitlán,location,island in a lake in central valley of Mexico
Tenochtitlán,population,"200,000 people"
Tenochtitlán,largest pyramid height,200 feet high
Aztec empire,dominant power date,by 1434
Aztec empire,territory,"125,000 square miles"
Aztec empire,subjects,10 million
Aztec conquest,date,1521
Incas,location,southern Peru
Incas,capital city,Cuzco
Inca empire,time of creation,early in the fifteenth century
Inca empire,extent,"more than 2,500 miles along the crest of the Andes Mountains, from northern Ecuador to central Chile"
Inca empire,population,6–12 million people
Inca empire,infrastructure,"almost 19,000 miles of stone highways"
Spanish approach to Inca empire,date,1525
Barbados,economic system based on,sugar production with slavery
Virginia,economic system based on,tobacco production with slavery
Barbados,governmental structure,elected assemblies
Virginia,governmental structure,elected assemblies
Barbados,demographic ratio,Blacks outnumbered whites by as many as ten to one
Jamaica,date of English acquisition,1655
Admiral Sir William Penn,role of,father of Pennsylvania's founder
Admiral Sir William Penn,military action,capture of Jamaica from Spain
Jamaica,colonial status,wealthiest English colony
Guadeloupe,colonial possession of,France
Martinique,colonial possession of,France
Saint Domingue,later name,Haiti
Saint Domingue,location,western end of Hispaniola
Saint Domingue,colonial possession of,France
King Charles II,year of gaining English throne,1660
King Charles II,method of colonial reward,lavish American land grants
proprietary colonies,governing rights holder,proprietors
proprietary colonies,land title holder,proprietors
King Charles I,namesake of,Carolina
Maryland,named in honor of,King Charles I's wife
Charles II,relation to Charles I,son
Charles II,date of Carolina grant,1663
Charles II,number of Lords Proprietors granted Carolina,eight
Lords Proprietors of Carolina,date of charter receipt,1663
John Locke,role in Carolina,drew up plan of government
John Locke,author of,Fundamental Constitutions of Carolina
Charles Town,founding date,1670
Charles Town,later name,Charleston
Charles Town,location,peninsula where the Ashley and Cooper Rivers meet the sea
Charles Town,colonial relationship,close ties with Barbados
South Carolina,date of black majority,1708
South Carolina,date of rice production,by 1690
rice,status in South Carolina by 1761,staple commodity
Eliza Lucas Pinckney,relation to governor of Antigua,daughter
Eliza Lucas Pinckney,role in South Carolina,introduced indigo in the 1740s
indigo,origin,India
indigo,description,blue vegetable dye
North Carolina,date of formal separation from South Carolina,1712
Roanoke Island,historical connection,site of Sir Walter Raleigh's settlement
New Netherland,date of English capture,1664
King Charles II,grant to,"James Stuart, the Duke of York"
James Stuart,titles,Duke of York
James Stuart,later title,King James II
James Stuart,relation to Charles II,brother
New Netherland,renamed as,New York
New York,original territorial extent,entire Atlantic seaboard between the Delaware and Connecticut Rivers
New York,population at time of English acquisition,"as many as 10,000 people"
New York City,population,"some 1,500 residents"
New York City,ethnic majority,Dutch
New Jersey,named after,Carteret's birthplace
Lord John Berkeley,proprietary grant,New Jersey
Sir George Carteret,proprietary grant,New Jersey
Sir George Carteret,portion of New Jersey,East Jersey (northeastern half)
Lord John Berkeley,portion of New Jersey,West Jersey
New Jersey,date of reunification as royal colony,1702
Quakers,formal name,Religious Society of Friends
William Penn,relation to fleet commander,son
William Penn's father,military role,commanded the fleet that captured Jamaica for Oliver Cromwell's Commonwealth
William Penn,religious affiliation,Quaker
